symbol,fundingTime,fundingRate
OCEANUSDT,1694419200000,8.623e-05
OCEANUSDT,1694448000001,-7.6e-06
CHZUSDT,1694390400000,8.944e-05
CHZUSDT,1694419200000,3.572e-05
CHZUSDT,1694448000001,0.0001
DUSKUSDT,1694390400000,2.894e-05
DUSKUSDT,1694419200000,-6.572e-05
DUSKUSDT,1694448000001,5.246e-05
CTSIUSDT,1694390400000,-2.685e-05
CTSIUSDT,1694419200000,-9.734e-05
CTSIUSDT,1694448000001,9.953e-05
ACHUSDT,1694390400000,-0.00041985
ACHUSDT,1694419200000,0.0001
ACHUSDT,1694448000001,0.0001
